Brucella vulpis	na	GCA_900000005.1	na	na	Complete Genome	na	na
Brucella vulpis	na	    GCA_001511795.1	na	na	Chromosome	na	na
Brucella melitensis	ASM219173v1	GCA_002191735.1	From INSDC submitter	3314720	Chromosome	2017-06-13	3421	SAMN05932971
Brucella melitensis	ASM219175v1	GCA_002191755.1	From INSDC submitter	3312616	Complete Genome	2017-06-13	3419	SAMN05932973
Brucella melitensis	ASM219177v1	GCA_002191775.1	From INSDC submitter	3312594	Chromosome	2017-06-13	3419	SAMN05932972
Brucella melitensis	ASM219179v1	GCA_002191795.1	From INSDC submitter	3312757	Chromosome	2017-06-13	3420	SAMN05932965
Brucella melitensis	ASM219181v1	GCA_002191815.1	From INSDC submitter	3313536	Chromosome	2017-06-13	3417	SAMN05932950
Brucella melitensis	ASM219183v1	GCA_002191835.1	From INSDC submitter	3312633	Chromosome	2017-06-13	3419	SAMN05932980
Brucella melitensis	ASM219185v1	GCA_002191855.1	From INSDC submitter	3312294	Chromosome	2017-06-13	3418	SAMN05932986
Brucella melitensis	ASM219187v1	GCA_002191875.1	From INSDC submitter	3312703	Chromosome	2017-06-13	3418	SAMN05932959
Brucella melitensis	ASM219189v1	GCA_002191895.1	From INSDC submitter	3311497	Chromosome	2017-06-13	3416	SAMN05932984
Brucella melitensis	ASM219191v1	GCA_002191915.1	From INSDC submitter	3311334	Complete Genome	2017-06-13	3416	SAMN05932949
Brucella melitensis	ASM219193v1	GCA_002191935.1	From INSDC submitter	3303645	Chromosome	2017-06-13	3414	SAMN05932922
Brucella melitensis	ASM219199v1	GCA_002191995.1	From INSDC submitter	3311385	Chromosome	2017-06-13	3414	SAMN05932958
Brucella melitensis	ASM219201v1	GCA_002192015.1	From INSDC submitter	3313634	Chromosome	2017-06-13	3417	SAMN05932967
Brucella melitensis	ASM219203v1	GCA_002192035.1	From INSDC submitter	3313251	Chromosome	2017-06-13	3418	SAMN05932968
Brucella melitensis	ASM219205v1	GCA_002192055.1	From INSDC submitter	3312579	Chromosome	2017-06-13	3418	SAMN05932964
Brucella melitensis	ASM219207v1	GCA_002192075.1	From INSDC submitter	3312952	Chromosome	2017-06-13	3420	SAMN05932966
Brucella melitensis	ASM219209v1	GCA_002192095.1	From INSDC submitter	3312779	Complete Genome	2017-06-13	3415	SAMN05932953
Brucella melitensis	ASM219211v1	GCA_002192115.1	From INSDC submitter	3312673	Chromosome	2017-06-13	3418	SAMN05932979
Brucella melitensis	ASM219213v1	GCA_002192135.1	From INSDC submitter	3312503	Chromosome	2017-06-13	3420	SAMN05932983
Brucella melitensis	ASM219215v1	GCA_002192155.1	From INSDC submitter	3312521	Complete Genome	2017-06-13	3417	SAMN05932976
Brucella melitensis	ASM219217v1	GCA_002192175.1	From INSDC submitter	3311587	Chromosome	2017-06-13	3416	SAMN05932917
Brucella melitensis	ASM219219v1	GCA_002192195.1	From INSDC submitter	3314350	Chromosome	2017-06-13	3421	SAMN05932932
Brucella melitensis	ASM226295v1	GCA_002262955.1	From INSDC submitter	3311862	Complete Genome	2017-08-22	3373	SAMN07499375
Brucella melitensis	ASM226301v1	GCA_002263015.1	From INSDC submitter	3312673	Complete Genome	2017-08-22	3378	SAMN07508058
Brucella melitensis	ASM229012v1	GCA_002290125.1	From INSDC submitter	3302684	Chromosome	2017-09-12	3300	SAMN07580939
Brucella melitensis	ASM276361v1	GCA_002763615.1	From INSDC submitter	3311767	Complete Genome	2017-11-13	3369	SAMN07967141
Brucella melitensis	ASM289510v1	GCA_002895105.1	From INSDC submitter	3311210	Complete Genome	2018-01-22	3364	SAMN08176517
Brucella melitensis	ASM289512v1	GCA_002895125.1	From INSDC submitter	3310711	Complete Genome	2018-01-22	3370	SAMN08242171
Brucella melitensis	ASM295359v1	GCA_002953595.1	From INSDC submitter	3299170	Complete Genome	2018-02-09	3359	SAMN07981100
Brucella melitensis	ASM320553v1	GCA_003205535.1	From INSDC submitter	3311757	Complete Genome	2018-06-11	3372	SAMN09296271
Brucella melitensis	ASM351604v1	GCA_003516045.1	From INSDC submitter	3311401	Complete Genome	2018-09-10	3365	SAMN08322134
Brucella melitensis	ASM351606v1	GCA_003516065.1	From INSDC submitter	3311514	Complete Genome	2018-09-10	3368	SAMN08322136
Brucella melitensis	ASM351608v1	GCA_003516085.1	From INSDC submitter	3311860	Complete Genome	2018-09-10	3362	SAMN08322135
Brucella melitensis	ASM385641v1	GCA_003856415.1	From INSDC submitter	3312257	Complete Genome	2018-12-03	3373	SAMN10439570
Brucella melitensis	ASM420865v1	GCA_004208655.1	From INSDC submitter	3311869	Complete Genome	2019-02-17	3373	SAMN10829700
Brucella melitensis	ASM420867v1	GCA_004208675.1	From INSDC submitter	3311846	Complete Genome	2019-02-17	3373	SAMN10829699
Brucella melitensis	ASM420869v1	GCA_004208695.1	From INSDC submitter	3311825	Complete Genome	2019-02-17	3372	SAMN10829698
Brucella melitensis	ASM876159v1	GCA_008761595.1	From INSDC submitter	3311895	Complete Genome	2019-10-01	3372	SAMN12827001
Brucella melitensis	ASM876161v1	GCA_008761615.1	From INSDC submitter	3306324	Complete Genome	2019-10-01	3367	SAMN12827002
Brucella melitensis	ASM1688752v1	GCA_016887525.1	From INSDC submitter	3312015	Chromosome	2021-02-14	3183	SAMN17774836
Brucella melitensis	ASM1713997v1	GCA_017139975.1	From INSDC submitter	3311219	Chromosome	2021-03-02	3175	SAMN15402912
Brucella melitensis	ASM1714009v1	GCA_017140095.1	From INSDC submitter	3311219	Chromosome	2021-03-02	3175	SAMN15402910
Brucella melitensis	Bru_genome7	GCA_900236335.1		3295083	Complete Genome	2017-12-04		SAMEA104369531
Brucella melitensis	Bru_genome47	GCA_900236345.1		3294929	Complete Genome	2017-12-04		SAMEA104369548
Brucella melitensis	Bru_genome20	GCA_900236355.1		3295079	Complete Genome	2017-12-04		SAMEA104369537
Brucella melitensis	Bru_genome40	GCA_900236365.1		3295230	Complete Genome	2017-12-04		SAMEA104369542
Brucella melitensis	Bru_genome9	GCA_900236375.1		3295073	Complete Genome	2017-12-04		SAMEA104369533
Brucella melitensis	Bru_genome37	GCA_900236385.1		3295156	Complete Genome	2017-12-04		SAMEA104369541
Brucella melitensis	Bru_genome41	GCA_900236395.1		3295219	Complete Genome	2017-12-04		SAMEA104369543
Brucella melitensis	Bru_genome13	GCA_900236405.1		3295161	Complete Genome	2017-12-04		SAMEA104369536
Brucella melitensis	Bru_genome48	GCA_900236415.1		3295221	Complete Genome	2017-12-04		SAMEA104369549
Brucella melitensis	Bru_genome11	GCA_900236425.1		3295104	Complete Genome	2017-12-04		SAMEA104369535
Brucella melitensis	Bru_genome23	GCA_900236435.1		3295145	Complete Genome	2017-12-04		SAMEA104369538
Brucella melitensis	Bru_genome2	GCA_900236445.1		3295128	Complete Genome	2017-12-04		SAMEA104369527
Brucella melitensis	Bru_genome44	GCA_900236455.1		3295212	Complete Genome	2017-12-04		SAMEA104369545
Brucella melitensis	Bru_genome45	GCA_900236465.1		3295087	Complete Genome	2017-12-04		SAMEA104369546
Brucella melitensis	Bru_genome24	GCA_900236485.1		3295085	Complete Genome	2017-12-04		SAMEA104369539
Brucella melitensis	Bru_genome46	GCA_900236495.1		3295056	Complete Genome	2017-12-04		SAMEA104369547
Brucella melitensis	Bru_genome43	GCA_900236515.1		3295070	Complete Genome	2017-12-04		SAMEA104369544
Brucella melitensis	Bru_genome6	GCA_900236525.1		3295083	Complete Genome	2017-12-04		SAMEA104369530
Brucella melitensis	Bru_genome4	GCA_900236535.1		3295033	Complete Genome	2017-12-04		SAMEA104369528
Brucella melitensis	Bru_genome36	GCA_900236545.1		3295203	Complete Genome	2017-12-04		SAMEA104369540
Brucella melitensis	Bru_genome5	GCA_900236555.1		3295047	Complete Genome	2017-12-04		SAMEA104369529
Brucella melitensis	Bru_genome8	GCA_900236565.1		3295107	Complete Genome	2017-12-04		SAMEA104369532
Brucella melitensis	Bru_genome10	GCA_900236575.1		3294987	Complete Genome	2017-12-04		SAMEA104369534
Brucella melitensis	Bru_genome1	GCA_900236585.1		3295066	Complete Genome	2017-12-04		SAMEA104369526
Brucella melitensis ATCC 23457	ASM2262v1	GCF_000022625.1	From INSDC submitter	3311219	Complete Genome	2009-03-25	3179	SAMN02604296
Brucella melitensis ATCC 23457	ASM2262v1	GCA_000022625.1	From INSDC submitter	3311219	Complete Genome	2009-03-25	3347	SAMN02604296
Brucella melitensis M28	ASM19272v1	GCF_000192725.1	From INSDC submitter	3311748	Complete Genome	2011-03-18	3180	SAMN02603655
Brucella melitensis M28	ASM19272v1	GCA_000192725.1	From INSDC submitter	3311748	Complete Genome	2011-03-18	3427	SAMN02603655
Brucella melitensis M5-90	ASM19288v1	GCF_000192885.1	From INSDC submitter	3312229	Complete Genome	2011-03-22	3182	SAMN02603654
Brucella melitensis M5-90	ASM19288v1	GCA_000192885.1	From INSDC submitter	3312229	Complete Genome	2011-03-22	3424	SAMN02603654
Brucella melitensis NI	ASM22764v1	GCF_000227645.1	From INSDC submitter	3294475	Complete Genome	2011-10-06	3164	SAMN02603116
Brucella melitensis NI	ASM22764v1	GCA_000227645.1	From INSDC submitter	3294475	Complete Genome	2011-10-06	3290	SAMN02603116
Brucella melitensis bv. 1 str. 16M	ASM712v1	GCF_000007125.1	From INSDC submitter	3294931	Complete Genome	2001-12-28	3170	SAMN02603416
Brucella melitensis bv. 1 str. 16M	ASM74041v1	GCF_000740415.1	From INSDC submitter	3294775	Complete Genome	2014-08-15	3168	SAMN02795970
Brucella melitensis bv. 1 str. 16M	ASM712v1	GCA_000007125.1	From INSDC submitter	3294931	Complete Genome	2001-12-28	3264	SAMN02603416
Brucella melitensis bv. 1 str. 16M	ASM74041v1	GCA_000740415.1	From INSDC submitter	3294775	Complete Genome	2014-08-15	3188	SAMN02795970
Brucella melitensis bv. 2 str. 63/9	ASM74039v1	GCF_000740395.1	From INSDC submitter	3312958	Chromosome	2014-08-15	3186	SAMN02786857
Brucella melitensis bv. 2 str. 63/9	ASM74039v1	GCA_000740395.1	From INSDC submitter	3312958	Chromosome	2014-08-15	3201	SAMN02786857
Brucella melitensis bv. 3 str. Ether	ASM74035v1	GCF_000740355.1	From INSDC submitter	3310727	Complete Genome	2014-08-15	3184	SAMN02795947
Brucella melitensis bv. 3 str. Ether	ASM74035v1	GCA_000740355.1	From INSDC submitter	3310727	Complete Genome	2014-08-15	3186	SAMN02795947
Brucella microti CCM 4915	ASM2274v1	GCF_000022745.1	From INSDC submitter	3337369	Complete Genome	2009-08-18	3173	SAMN02603148
Brucella microti CCM 4915	ASM2274v1	GCA_000022745.1	From INSDC submitter	3337369	Complete Genome	2009-08-18	3415	SAMN02603148
Brucella ovis ATCC 25840	ASM1684v1	GCF_000016845.1	From INSDC submitter	3275590	Complete Genome	2007-05-30	3171	SAMN02604024
Brucella ovis ATCC 25840	ASM1684v1	GCA_000016845.1	From INSDC submitter	3275590	Complete Genome	2007-05-30	3200	SAMN02604024
Brucella pinnipedialis	ASM74027v1	GCF_000740275.1	From INSDC submitter	3331029	Complete Genome	2014-08-15	3181	SAMN02781126
Brucella pinnipedialis	ASM1562446v1	GCF_015624465.1	From INSDC submitter	3312423	Complete Genome	2020-11-20	3150	SAMN16205670
Brucella pinnipedialis	ASM74027v1	GCA_000740275.1	From INSDC submitter	3331029	Complete Genome	2014-08-15	3180	SAMN02781126
Brucella pinnipedialis	ASM1562446v1	GCA_015624465.1	From INSDC submitter	3312423	Complete Genome	2020-11-20	3150	SAMN16205670
Brucella pinnipedialis B2/94	ASM22100v1	GCF_000221005.1	From INSDC submitter	3399268	Complete Genome	2011-07-20	3249	SAMN02603341
Brucella pinnipedialis B2/94	ASM22100v1	GCA_000221005.1	From INSDC submitter	3399268	Complete Genome	2011-07-20	3506	SAMN02603341
Brucella pituitosa	ASM202562v1	GCF_002025625.1	From INSDC submitter	5467370	Complete Genome	2017-03-13	5021	SAMN06130960
Brucella pituitosa	ASM202562v1	GCA_002025625.1		5467370	Complete Genome	2017-03-13		SAMN06130960
Brucella pseudogrignonensis	ASM165248v1	GCF_001652485.1	From INSDC submitter	4992805	Complete Genome	2016-05-26	4697	SAMN04994838
Brucella pseudogrignonensis	ASM165248v1	GCA_001652485.1	From INSDC submitter	4992805	Complete Genome	2016-05-26	4693	SAMN04994838
Brucella sp. 09RB8471	ASM197162v1	GCF_001971625.1	From INSDC submitter	3434749	Complete Genome	2017-01-26	3278	SAMN05890481
Brucella sp. 09RB8471	ASM197162v1	GCA_001971625.1	From INSDC submitter	3434749	Complete Genome	2017-01-26	3463	SAMN05890481
Brucella sp. 09RB8910	ASM197180v1	GCF_001971805.1	From INSDC submitter	3592978	Complete Genome	2017-01-26	3422	SAMN05890480
Brucella sp. 09RB8910	ASM197180v1	GCA_001971805.1	From INSDC submitter	3592978	Complete Genome	2017-01-26	3653	SAMN05890480
Brucella sp. 10RB9215	10RB9215v1	GCF_900092405.1	From INSDC submitter	3562813	Complete Genome	2016-12-13	3362	SAMEA4063032
Brucella sp. 10RB9215	10RB9215v1	GCA_900092405.1	From INSDC submitter	3562813	Complete Genome	2016-12-13	3343	SAMEA4063032
Brucella sp. 2002734562	ASM171538v1	GCF_001715385.1	From INSDC submitter	3283485	Complete Genome	2016-08-29	3165	SAMN05577733
Brucella sp. 2002734562	ASM171538v1	GCA_001715385.1	From INSDC submitter	3283485	Complete Genome	2016-08-29	3180	SAMN05577733
Brucella sp. 2280	ASM960172v1	GCF_009601725.1	From INSDC submitter	3584454	Complete Genome	2019-11-06	3505	SAMN12091575
Brucella sp. 2280	ASM960172v1	GCA_009601725.1	From INSDC submitter	3584454	Complete Genome	2019-11-06	3510	SAMN12091575
Brucella sp. 458	ASM1779788v1	GCF_017797885.1	From INSDC submitter	3316585	Complete Genome	2021-04-06	3107	SAMN18395631
Brucella sp. 458	ASM1779788v1	GCA_017797885.1	From INSDC submitter	3316585	Complete Genome	2021-04-06	3107	SAMN18395631
Brucella sp. 6810	ASM1449590v1	GCF_014495905.1	From INSDC submitter	3522910	Complete Genome	2020-09-09	3419	SAMN15962648
Brucella sp. 6810	ASM1449590v1	GCA_014495905.1	From INSDC submitter	3522910	Complete Genome	2020-09-09	3419	SAMN15962648
Brucella sp. BO2	ASM1583211v1	GCF_015832115.1	From INSDC submitter	3290672	Complete Genome	2020-12-08	3089	SAMN16909640
Brucella sp. BO2	ASM1583211v1	GCA_015832115.1	From INSDC submitter	3290672	Complete Genome	2020-12-08	3091	SAMN16909640
Brucella sp. BO3	ASM1408400v1	GCF_014084005.1	From INSDC submitter	3378310	Complete Genome	2020-08-06	3199	SAMN13656845
Brucella sp. BO3	ASM1408400v1	GCA_014084005.1	From INSDC submitter	3378310	Complete Genome	2020-08-06	3202	SAMN13656845
Brucella sp. BTU1	ASM1879882v1	GCF_018798825.1	From INSDC submitter	5879036	Complete Genome	2021-06-09	5477	SAMN19403784
Brucella sp. BTU1	ASM1879882v1	GCA_018798825.1	From INSDC submitter	5879036	Complete Genome	2021-06-09	5477	SAMN19403784
Brucella suis	ASM74023v1	GCF_000740235.1	From INSDC submitter	3319697	Complete Genome	2014-08-15	3155	SAMN02780910
Brucella suis	ASM74043v1	GCF_000740435.1	From INSDC submitter	3313865	Complete Genome	2014-08-15	3158	SAMN02787065
Brucella suis	ASM87569v1	GCF_000875695.1	From INSDC submitter	3315086	Complete Genome	2015-02-13	3161	SAMN03292446
Brucella suis	ASM171542v1	GCF_001715425.1	From INSDC submitter	3315231	Complete Genome	2016-08-29	3161	SAMN05559129
Brucella suis	ASM274947v1	GCF_002749475.1	From INSDC submitter	3315195	Complete Genome	2017-11-03	3160	SAMN07840743
Brucella suis	ASM1999862v1	GCF_019998625.1	From INSDC submitter	3297225	Chromosome	2021-09-15	3164	SAMN21183180
Brucella suis	ASM74023v1	GCA_000740235.1	From INSDC submitter	3319697	Complete Genome	2014-08-15	3135	SAMN02780910
Brucella suis	ASM74043v1	GCA_000740435.1	From INSDC submitter	3313865	Complete Genome	2014-08-15	3153	SAMN02787065
Brucella suis	ASM87569v1	GCA_000875695.1	From INSDC submitter	3315086	Complete Genome	2015-02-13	3144	SAMN03292446
Brucella suis	ASM171542v1	GCA_001715425.1	From INSDC submitter	3315231	Complete Genome	2016-08-29	3143	SAMN05559129
Brucella suis	ASM274947v1	GCA_002749475.1	From INSDC submitter	3315195	Complete Genome	2017-11-03	3350	SAMN07840743
Brucella suis	ASM1999862v1	GCA_019998625.1		3297225	Chromosome	2021-09-15		SAMN21183180
Brucella suis 019	ASM159416v1	GCF_001594165.1	From INSDC submitter	3302824	Chromosome	2016-01-15	3147	SAMN04404261
Brucella suis 019	ASM159416v1	GCA_001594165.1	From INSDC submitter	3302824	Chromosome	2016-01-15	3132	SAMN04404261
Brucella suis 1330	ASM750v1	GCF_000007505.1	From INSDC submitter	3315175	Complete Genome	2004-10-13	3161	SAMN02603682
Brucella suis 1330	ASM22319v1	GCF_000223195.1	From INSDC submitter	3315163	Complete Genome	2011-08-10	3161	SAMN02604297
Brucella suis 1330	ASM750v1	GCA_000007505.1	From INSDC submitter	3315175	Complete Genome	2004-10-13	3384	SAMN02603682
Brucella suis 1330	ASM22319v1	GCA_000223195.1	From INSDC submitter	3315163	Complete Genome	2011-08-10	3437	SAMN02604297
Brucella suis ATCC 23445	ASM1890v1	GCF_000018905.1	From INSDC submitter	3324607	Complete Genome	2007-12-20	3175	SAMN02604298
Brucella suis ATCC 23445	ASM1890v1	GCA_000018905.1	From INSDC submitter	3324607	Complete Genome	2007-12-20	3426	SAMN02604298
Brucella suis VBI22	ASM23625v1	GCF_000236255.1	From INSDC submitter	3316088	Complete Genome	2011-11-28	3160	SAMN01093721
Brucella suis VBI22	ASM23625v1	GCA_000236255.1	From INSDC submitter	3316088	Complete Genome	2011-11-28	3438	SAMN01093721
Brucella suis bv. 1	ASM1488454v1	GCF_014884545.1	From INSDC submitter	3315569	Complete Genome	2020-10-13	3159	SAMN15196298
Brucella suis bv. 1	ASM1488456v1	GCF_014884565.1	From INSDC submitter	3315357	Complete Genome	2020-10-13	3157	SAMN15196297
Brucella suis bv. 1	ASM1488454v1	GCA_014884545.1	From INSDC submitter	3315569	Complete Genome	2020-10-13	3163	SAMN15196298
Brucella suis bv. 1	ASM1488456v1	GCA_014884565.1	From INSDC submitter	3315357	Complete Genome	2020-10-13	3160	SAMN15196297
Brucella suis bv. 1 str. S2	ASM60005v1	GCF_000600055.1	From INSDC submitter	3315275	Complete Genome	2014-03-25	3157	SAMN03068300
Brucella suis bv. 1 str. S2	ASM60005v1	GCA_000600055.1	From INSDC submitter	3315275	Complete Genome	2014-03-25	3294	SAMN03068300
Brucella suis bv. 2	ASM69824v1	GCF_000698245.1	From INSDC submitter	3324765	Complete Genome	2014-06-05	3174	SAMN02689927
Brucella suis bv. 2	ASM69828v1	GCF_000698285.1	From INSDC submitter	3325042	Complete Genome	2014-06-05	3171	SAMN02690837
Brucella suis bv. 2	ASM69832v1	GCF_000698325.1	From INSDC submitter	3328972	Complete Genome	2014-06-05	3181	SAMN02692306
Brucella suis bv. 2	ASM69834v1	GCF_000698345.1	From INSDC submitter	3328458	Complete Genome	2014-06-05	3182	SAMN02692662
Brucella suis bv. 2	ASM69902v1	GCF_000699025.1	From INSDC submitter	3324539	Complete Genome	2014-06-06	3175	SAMN02691711
Brucella suis bv. 2	ASM1488440v1	GCF_014884405.1	From INSDC submitter	3324593	Complete Genome	2020-10-13	3174	SAMN15196305
Brucella suis bv. 2	ASM69824v1	GCA_000698245.1	From INSDC submitter	3324765	Complete Genome	2014-06-05	3433	SAMN02689927
Brucella suis bv. 2	ASM69828v1	GCA_000698285.1	From INSDC submitter	3325042	Complete Genome	2014-06-05	3422	SAMN02690837
Brucella suis bv. 2	ASM69832v1	GCA_000698325.1	From INSDC submitter	3328972	Complete Genome	2014-06-05	3435	SAMN02692306
Brucella suis bv. 2	ASM69834v1	GCA_000698345.1	From INSDC submitter	3328458	Complete Genome	2014-06-05	3437	SAMN02692662
Brucella suis bv. 2	ASM69902v1	GCA_000699025.1	From INSDC submitter	3324539	Complete Genome	2014-06-06	3426	SAMN02691711
Brucella suis bv. 2	ASM1488440v1	GCA_014884405.1	From INSDC submitter	3324593	Complete Genome	2020-10-13	3175	SAMN15196305
Brucella suis bv. 3	ASM1488452v1	GCF_014884525.1	From INSDC submitter	3303700	Complete Genome	2020-10-13	3146	SAMN15196299
Brucella suis bv. 3	ASM1488452v1	GCA_014884525.1	From INSDC submitter	3303700	Complete Genome	2020-10-13	3147	SAMN15196299
Brucella suis bv. 3 str. 686	ASM74025v1	GCF_000740255.1	From INSDC submitter	3297260	Complete Genome	2014-08-15	3139	SAMN02769637
Brucella suis bv. 3 str. 686	ASM74025v1	GCA_000740255.1	From INSDC submitter	3297260	Complete Genome	2014-08-15	3136	SAMN02769637
Brucella suis bv. 4	ASM1488450v1	GCF_014884505.1	From INSDC submitter	3313840	Complete Genome	2020-10-13	3154	SAMN15196300
Brucella suis bv. 4	ASM1488450v1	GCA_014884505.1	From INSDC submitter	3313840	Complete Genome	2020-10-13	3158	SAMN15196300
Brucella suis bv. 5	ASM1488448v1	GCF_014884485.1	From INSDC submitter	3319604	Complete Genome	2020-10-13	3158	SAMN15196301
Brucella suis bv. 5	ASM1488448v1	GCA_014884485.1	From INSDC submitter	3319604	Complete Genome	2020-10-13	3162	SAMN15196301
[Ochrobactrum] quorumnocens	ASM227803v1	GCF_002278035.1	From INSDC submitter	5645291	Complete Genome	2017-08-30	5307	SAMN07259827
[Ochrobactrum] quorumnocens	ASM227803v1	GCA_002278035.1	From INSDC submitter	5645291	Complete Genome	2017-08-30	5857	SAMN07259827
